,job_title,low_end_salary,middle_range_salary,high_end_salary,company_name,job_location,sector,type_of_ownership,size_of_company,rating_of_company,cost_of_living_index,avg_salary_index,salary_col_differential,lat,lng,state
149,Senior Data Scientist Statistics,74000,98500,123000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,96.0,NaN,46.28042000000001,-119.2751996,WA
150,Senior Data Analyst,44000,61000,78000,KnowBe4,"Clearwater, FL",Business Services,Company - Private,501 to 1000 employees,4.8,NaN,59.4,NaN,27.9658533,-82.8001026,FL
151,Senior Spark Engineer (Data Science),65000,106500,148000,KSM Consulting,"Indianapolis, IN",Business Services,Company - Private,51 to 200 employees,4.4,90.2,103.8,72024,39.768403,-86.158068,IN
152,Data Engineer,59000,84500,110000,Cogo Labs,"Cambridge, MA",Information Technology,Company - Private,51 to 200 employees,3.9,NaN,82.3,NaN,42.3736158,-71.10973349999999,MA
153,BI & Platform Analytics Manager,85000,109500,134000,Church & Dwight,"Ewing, NJ",Manufacturing,Company - Public,1001 to 5000 employees,3.4,NaN,106.7,NaN,40.2599864,-74.79091249999999,NJ
154,Lead Data Scientist,124000,164000,204000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,159.8,113278,42.3600825,-71.0588801,MA
155,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",131000,169000,207000,Genentech,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,10000+ employees,3.9,NaN,164.7,NaN,37.654656,-122.4077498,CA
156,Senior Data Scientist,110000,142000,174000,Juniper Networks,"Cupertino, CA",Telecommunications,Company - Public,5001 to 10000 employees,3.8,NaN,138.3,NaN,37.3229978,-122.0321823,CA
157,Pricipal Scientist Molecular and cellular biologist,52000,76500,101000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,74.5,25726,42.3600825,-71.0588801,MA
158,"Data Scientist (Actuary, FSA or ASA)",81000,107000,133000,Legal & General America,"Frederick, MD",Insurance,Company - Private,501 to 1000 employees,3.8,NaN,104.2,NaN,39.41426879999999,-77.4105409,MD
159,Staff Data Scientist,132000,171500,211000,Western Digital,"San Jose, CA",Information Technology,Company - Public,10000+ employees,3.5,173.5,167.1,105120,37.33874,-121.8852525,CA
160,Senior Data Scientist / Machine Learning,73000,96000,119000,Health IQ,"Dallas, TX",Insurance,Company - Private,201 to 500 employees,3.9,98.5,93.5,58276,32.7766642,-96.79698789999999,TX
161,Data Scientist - Health Data Analytics,110000,142500,175000,Nuna,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.2,178.6,138.8,74121,37.7749295,-122.4194155,CA
162,Data Engineer 5 - Contract (Remote),74000,107000,140000,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",Non-Profit,Nonprofit Organization,10000+ employees,4.2,NaN,104.2,NaN,40.521893,-111.9391023,UT
163,Senior Scientist - Neuroscience,100000,145000,190000,Sunovion,"Marlborough, MA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,3.5,NaN,141.3,NaN,42.3459271,-71.5522874,MA
164,Senior Data Analyst,43000,61500,80000,National Student Clearinghouse,"Herndon, VA",Education,Nonprofit Organization,201 to 500 employees,2.9,NaN,59.9,NaN,38.9695545,-77.3860976,VA
165,"Risk and Analytics IT, Data Scientist",91000,120000,149000,State of Wisconsin Investment Board,"Madison, WI",Finance,Government,51 to 200 employees,2.7,99.5,116.9,81912,43.0721661,-89.4007501,WI
166,"Scientist, Analytical Development",42000,62000,82000,Rubius Therapeutics,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,60.4,NaN,42.3736158,-71.10973349999999,MA
167,Senior Data Scientist,116000,150500,185000,Autodesk,"San Francisco, CA",Information Technology,Company - Public,5001 to 10000 employees,4.0,178.6,146.6,82127,37.7749295,-122.4194155,CA
168,Analytics Manager,59000,87500,116000,OneMagnify,"Dearborn, MI",Business Services,Company - Private,201 to 500 employees,4.3,NaN,85.2,NaN,42.3222599,-83.17631449999999,MI
169,Data Engineer,48000,71500,95000,IZEA,"Winter Park, FL",Business Services,Company - Public,51 to 200 employees,4.2,NaN,69.7,NaN,28.5999998,-81.33923519999999,FL
170,Digital Marketing & ECommerce Data Analyst,31000,51500,72000,Vionic Group,"San Rafael, CA",Retail,Subsidiary or Business Segment,51 to 200 employees,3.6,NaN,50.2,NaN,37.9735346,-122.5310874,CA
171,Sr. Scientist - Digital & Image Analysis/Computational Pathology,105000,151500,198000,Takeda Pharmaceuticals,"San Diego, CA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,136.2,147.6,99378,32.715738,-117.1610838,CA
172,Senior Data Analyst,55000,77500,100000,Dodge Data & Analytics,"Hamilton, NJ",Information Technology,Company - Private,201 to 500 employees,2.8,NaN,75.5,NaN,40.2115109,-74.6796651,NJ
173,Principal Scientist - Immunologist,98000,140000,182000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,136.4,89260,42.3600825,-71.0588801,MA
174,Senior Data Scientist,73000,98500,124000,Plymouth Rock Assurance,"Woodbridge, NJ",Insurance,Company - Private,1001 to 5000 employees,3.3,NaN,96.0,NaN,40.5575986,-74.2846022,NJ
175,"Sr. Scientist, Quantitative Translational Sciences",117000,161500,206000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,157.3,110712,42.3600825,-71.0588801,MA
176,Sr. Data Scientist II,111000,147000,183000,Argo Group US,"New York, NY",Insurance,Company - Public,1001 to 5000 employees,3.4,128.0,143.2,98000,40.7127753,-74.0059728,NY
177,Excel / VBA / SQL Data Analyst,44000,61000,78000,Associated Electric Cooperative,"Springfield, MO","Oil, Gas, Energy & Utilities",Company - Private,501 to 1000 employees,4.1,86.7,59.4,27792,37.2089572,-93.29229889999999,MO
178,Machine Learning Research Scientist,81000,120000,159000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,116.9,84361,40.44062479999999,-79.9958864,PA
179,"VP, Data Science",83000,124500,166000,PennyMac,"Phoenix, AZ",Finance,Company - Public,1001 to 5000 employees,3.2,104.3,121.3,84591,33.4483771,-112.0740373,AZ
180,Senior Data Scientist,114000,148000,182000,Zest AI,"Burbank, CA",Finance,Company - Private,51 to 200 employees,3.9,NaN,144.2,NaN,34.1808392,-118.3089661,CA
181,Radar Data Analyst,42000,59000,76000,DECISIVE ANALYTICS Corporation,"Huntsville, AL",Aerospace & Defense,Company - Private,51 to 200 employees,4.7,91.3,57.5,24081,34.7303688,-86.5861037,AL
182,PL Actuarial-Lead Data Scientist,114000,146500,179000,The Hanover Insurance Group,"Worcester, MA",Insurance,Company - Public,5001 to 10000 employees,3.7,113.2,142.7,103150,42.2625932,-71.8022934,MA
183,PV Scientist,60000,91500,123000,Karyopharm Therapeutics Inc.,"Newton, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,2.9,NaN,89.1,NaN,42.3370413,-71.20922139999999,MA
184,Senior Data & Machine Learning Scientist,100000,133000,166000,Tempus Labs,"Chicago, IL",Biotech & Pharmaceuticals,Company - Private,501 to 1000 employees,3.0,100.1,129.6,94717,41.8781136,-87.6297982,IL
185,Principal Data Scientist (Computational Chemistry),108000,140500,173000,Recursion Pharmaceuticals,"Salt Lake City, UT",Biotech & Pharmaceuticals,Company - Private,51 to 200 employees,4.7,105.9,136.9,99991,40.7607793,-111.8910474,UT
186,Data Engineer,48000,70500,93000,P2 Energy Solutions,"Lafayette, LA",Information Technology,Company - Private,501 to 1000 employees,3.7,89.6,68.7,36227,30.2240897,-92.0198427,LA
187,"Principal Scientist, Chemistry & Immunology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
188,Software Engineer - Data Visualization,60000,93500,127000,ClearEdge,"Annapolis Junction, MD",Information Technology,Company - Private,51 to 200 employees,4.0,NaN,91.1,NaN,39.1202934,-76.77693239999999,MD
189,"Scientist/Senior Scientist, Autoimmune",90000,134500,179000,Rubius Therapeutics,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,131.0,NaN,42.3736158,-71.10973349999999,MA
190,Staff Machine Learning Engineer,138000,181000,224000,Tapjoy,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,3.9,178.6,176.3,112611,37.7749295,-122.4194155,CA
191,"Principal Scientist, Hematology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
192,Lead Data Engineer,190000,205000,220000,Credit Sesame,"Mountain View, CA",Information Technology,Company - Private,51 to 200 employees,4.1,NaN,199.7,NaN,37.3860517,-122.0838511,CA
193,Marketing Data Analyst,35000,48500,62000,San Manuel Casino,"Highland, CA","Arts, Entertainment & Recreation",Company - Private,1001 to 5000 employees,3.6,NaN,47.3,NaN,34.1211873,-117.2015791,CA
194,R&D Specialist/ Food Scientist,39000,52500,66000,Teasdale Latin Foods,"Hoopeston, IL",Manufacturing,Company - Private,501 to 1000 employees,2.4,NaN,51.1,NaN,40.4672587,-87.6683573,IL
195,Senior Research Scientist-Machine Learning,81000,124000,167000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,120.8,88364,40.44062479999999,-79.9958864,PA
196,Analytics Manager - Data Mart,42000,64000,86000,Central California Alliance for Health,"Scotts Valley, CA",Health Care,Nonprofit Organization,501 to 1000 employees,3.5,NaN,62.4,NaN,37.048345,-122.0168296,CA
197,Sr. Data Engineer - Contract-to-Hire (Java),69000,98000,127000,Pilot Flying J Travel Centers LLC,"Knoxville, TN",Retail,Company - Private,10000+ employees,3.0,91.6,95.5,62970,35.9606384,-83.9207392,TN
198,Food Scientist - Developer,40000,54000,68000,Palermo's Pizza,"Milwaukee, WI",Manufacturing,Company - Private,501 to 1000 employees,3.3,93.8,52.6,18095,43.0389025,-87.9064736,WI
199,Staff Scientist-Downstream Process Development,49000,81000,113000,Advanced BioScience Laboratories,"Rockville, MD",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,2.7,NaN,78.9,NaN,39.0839973,-77.1527578,MD
200,Sr. Data Engineer,75000,107500,140000,Echo Global Logistics,"Chicago, IL",Transportation & Logistics,Company - Public,1001 to 5000 employees,3.4,100.1,104.7,69160,41.8781136,-87.6297982,IL
201,Data Scientist - Quantitative,86000,112500,139000,Truckstop.com,"Chicago, IL",Transportation & Logistics,Company - Private,501 to 1000 employees,3.8,100.1,109.6,74189,41.8781136,-87.6297982,IL
202,Data Scientist,66000,89000,112000,Lockheed Martin,"Herndon, VA",Aerospace & Defense,Company - Public,10000+ employees,3.7,NaN,86.7,NaN,38.9695545,-77.3860976,VA
203,Senior Research Statistician- Data Scientist,76000,100500,125000,Acuity Insurance,"Sheboygan, WI",Insurance,Company - Private,1001 to 5000 employees,4.8,89.7,97.9,66160,43.7508284,-87.71453,WI
204,"Business Data Analyst, SQL",44000,65000,86000,Fareportal,"New York, NY",Travel & Tourism,Company - Private,1001 to 5000 employees,3.8,128.0,63.3,15991,40.7127753,-74.0059728,NY
205,Data Scientist,53000,72500,92000,Credera,"Dallas, TX",Business Services,Subsidiary or Business Segment,201 to 500 employees,4.3,98.5,70.6,34772,32.7766642,-96.79698789999999,TX
206,Senior Data Analyst,44000,61000,78000,KnowBe4,"Clearwater, FL",Business Services,Company - Private,501 to 1000 employees,4.8,NaN,59.4,NaN,27.9658533,-82.8001026,FL
207,BI & Platform Analytics Manager,85000,109500,134000,Church & Dwight,"Ewing, NJ",Manufacturing,Company - Public,1001 to 5000 employees,3.4,NaN,106.7,NaN,40.2599864,-74.79091249999999,NJ
208,Data Engineer,59000,84500,110000,Cogo Labs,"Cambridge, MA",Information Technology,Company - Private,51 to 200 employees,3.9,NaN,82.3,NaN,42.3736158,-71.10973349999999,MA
209,Data Scientist,64000,87500,111000,Spectrum Communications and Consulting,"Chicago, IL",Business Services,Company - Private,51 to 200 employees,3.4,100.1,85.2,49145,41.8781136,-87.6297982,IL
210,Data Analyst,65000,92500,120000,NCSOFT,"San Mateo, CA",Media,Company - Public,1001 to 5000 employees,3.1,NaN,90.1,NaN,37.5629917,-122.3255254,CA
211,Associate Data Scientist/Computer Scientist,60000,81500,103000,MITRE,"McLean, VA",Government,Nonprofit Organization,5001 to 10000 employees,3.2,NaN,79.4,NaN,38.9338676,-77.1772604,VA
212,Business Intelligence Analyst / Developer,53000,79000,105000,"Dayton Freight Lines, Inc.","Dayton, OH",Transportation & Logistics,Company - Private,1001 to 5000 employees,4.3,88.4,77.0,45206,39.7589478,-84.1916069,OH
213,Lead Data Scientist,124000,164000,204000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,159.8,113278,42.3600825,-71.0588801,MA
214,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",131000,169000,207000,Genentech,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,10000+ employees,3.9,NaN,164.7,NaN,37.654656,-122.4077498,CA
215,Senior Data Scientist,110000,142000,174000,Juniper Networks,"Cupertino, CA",Telecommunications,Company - Public,5001 to 10000 employees,3.8,NaN,138.3,NaN,37.3229978,-122.0321823,CA
216,Data Analyst,33000,47500,62000,Community Action Partnership of San Luis Obispo,"Parlier, CA",Non-Profit,Nonprofit Organization,501 to 1000 employees,2.8,NaN,46.3,NaN,36.6116174,-119.5270734,CA
217,Pricipal Scientist Molecular and cellular biologist,52000,76500,101000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,74.5,25726,42.3600825,-71.0588801,MA
218,Data Analyst,48000,69000,90000,TrueAccord,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,3.4,178.6,67.2,631,37.7749295,-122.4194155,CA
219,Data Analyst,34000,49000,64000,DRB Systems,"Meridian, ID",Information Technology,Company - Private,201 to 500 employees,4.0,NaN,47.7,NaN,43.6121087,-116.3915131,ID
220,Staff Data Scientist,132000,171500,211000,Western Digital,"San Jose, CA",Information Technology,Company - Public,10000+ employees,3.5,173.5,167.1,105120,37.33874,-121.8852525,CA
221,"Data Scientist (Actuary, FSA or ASA)",81000,107000,133000,Legal & General America,"Frederick, MD",Insurance,Company - Private,501 to 1000 employees,3.8,NaN,104.2,NaN,39.41426879999999,-77.4105409,MD
222,System and Data Analyst,42000,59000,76000,Corcentric,"Cherry Hill, NJ",Information Technology,Company - Private,201 to 500 employees,3.7,NaN,57.5,NaN,39.926813,-75.0246312,NJ
223,Data Scientist,66000,88500,111000,U.Group,"Indianapolis, IN",Information Technology,Company - Private,201 to 500 employees,3.5,90.2,86.2,53960,39.768403,-86.158068,IN
224,Data Engineer 5 - Contract (Remote),74000,107000,140000,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",Non-Profit,Nonprofit Organization,10000+ employees,4.2,NaN,104.2,NaN,40.521893,-111.9391023,UT
225,Digital Health Data Scientist,63000,86500,110000,Pfizer,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,NaN,84.3,NaN,42.3736158,-71.10973349999999,MA
226,Data Scientist,63000,84000,105000,SMC 3,"Louisville, KY",Transportation & Logistics,Nonprofit Organization,51 to 200 employees,4.3,91.6,81.8,48908,38.2526647,-85.7584557,KY
227,Data & Analytics Consultant (NYC),91000,114500,138000,Systems Evolution Inc.,"New York, NY",Business Services,Company - Private,201 to 500 employees,4.7,128.0,111.6,65566,40.7127753,-74.0059728,NY
228,Senior Scientist - Neuroscience,100000,145000,190000,Sunovion,"Marlborough, MA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,3.5,NaN,141.3,NaN,42.3459271,-71.5522874,MA
229,Data Engineer,62000,88000,114000,Eventbrite,"Nashville, TN",Information Technology,Company - Public,1001 to 5000 employees,4.4,100.1,85.7,49658,36.1626638,-86.7816016,TN
230,Big Data Engineer - Chicago - Future Opportunity,71000,100000,129000,Centro,"Chicago, IL",Information Technology,Company - Private,501 to 1000 employees,4.1,100.1,97.4,61667,41.8781136,-87.6297982,IL
231,Senior Data Analyst,43000,61500,80000,National Student Clearinghouse,"Herndon, VA",Education,Nonprofit Organization,201 to 500 employees,2.9,NaN,59.9,NaN,38.9695545,-77.3860976,VA
232,Data Scientist,74000,96500,119000,comScore,"Portland, OR",Business Services,Company - Public,1001 to 5000 employees,2.5,116.5,94.0,51902,45.515232,-122.6783853,OR
233,Survey Data Analyst,55000,76000,97000,SullivanCotter,"Minneapolis, MN",Business Services,Company - Private,201 to 500 employees,4.2,105.4,74.0,35621,44.977753,-93.2650108,MN
234,Data Scientist,15000,15500,16000,NPD,"Port Washington, NY",Business Services,Company - Private,1001 to 5000 employees,3.9,NaN,15.1,NaN,40.8256561,-73.69818579999999,NY
235,Data Scientist,61000,83500,106000,Bakery Agency,"Austin, TX",Business Services,Company - Private,1 to 50 employees,4.3,106.6,81.4,42757,30.267153,-97.7430608,TX
236,"Risk and Analytics IT, Data Scientist",91000,120000,149000,State of Wisconsin Investment Board,"Madison, WI",Finance,Government,51 to 200 employees,2.7,99.5,116.9,81912,43.0721661,-89.4007501,WI
237,Data Scientist,127000,163000,199000,Genentech,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,10000+ employees,3.9,NaN,158.8,NaN,37.654656,-122.4077498,CA
238,Lead Health Data Analyst - Front End,74000,100000,126000,Blue Cross & Blue Shield of Rhode Island,"Providence, RI",Insurance,Nonprofit Organization,501 to 1000 employees,3.4,111.5,97.4,57305,41.8239891,-71.4128343,RI
239,Research Scientist,33000,52500,72000,Boys Town,"Omaha, NE",Non-Profit,Nonprofit Organization,1001 to 5000 employees,3.8,92.9,51.1,16900,41.2565369,-95.9345034,NE
240,Junior Data Analyst,37000,50000,63000,The HSC Health Care System,"Washington, DC",Health Care,Nonprofit Organization,501 to 1000 employees,3.3,120.1,48.7,4028,38.9071923,-77.0368707,DC
241,SQL Data Engineer,67000,93000,119000,Pro-Sphere Tek,"Austin, TX",Business Services,Company - Private,201 to 500 employees,3.4,106.6,90.6,52200,30.267153,-97.7430608,TX
242,Data Scientist,72000,94500,117000,Ameritas Life Insurance Corp,"Cincinnati, OH",Insurance,Company - Private,1001 to 5000 employees,3.0,92.4,92.1,59174,39.1031182,-84.5120196,OH
243,Senior Data Scientist,116000,150500,185000,Autodesk,"San Francisco, CA",Information Technology,Company - Public,5001 to 10000 employees,4.0,178.6,146.6,82127,37.7749295,-122.4194155,CA
244,Data Scientist,78000,102000,126000,Genworth,"Raleigh, NC",Insurance,Company - Public,1001 to 5000 employees,3.7,99.7,99.4,63873,35.7795897,-78.6381787,NC
245,"Scientist, Analytical Development",42000,62000,82000,Rubius Therapeutics,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,60.4,NaN,42.3736158,-71.10973349999999,MA
246,Analytics Manager,59000,87500,116000,OneMagnify,"Dearborn, MI",Business Services,Company - Private,201 to 500 employees,4.3,NaN,85.2,NaN,42.3222599,-83.17631449999999,MI
247,Clinical Data Scientist,63000,84000,105000,Pfizer,"Groton, CT",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,NaN,81.8,NaN,41.3497456,-72.0790717,CT
248,Data Scientist,109000,143000,177000,Novetta,"Herndon, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,139.3,NaN,38.9695545,-77.3860976,VA
249,"Sr. Data Scientist, Cyber-Security LT Contract",116000,155000,194000,"Numeric, LLC","Phila, PA",Business Services,Company - Private,1 to 50 employees,3.2,NaN,151.0,NaN,39.9525839,-75.1652215,PA
250,Data Engineer,48000,71500,95000,IZEA,"Winter Park, FL",Business Services,Company - Public,51 to 200 employees,4.2,NaN,69.7,NaN,28.5999998,-81.33923519999999,FL
251,Data Scientist,83000,108000,133000,Trace Data,"Oakland, CA",Insurance,Company - Private,51 to 200 employees,3.9,NaN,105.2,NaN,37.8043514,-122.2711639,CA
252,Sr. Scientist - Digital & Image Analysis/Computational Pathology,105000,151500,198000,Takeda Pharmaceuticals,"San Diego, CA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,136.2,147.6,99378,32.715738,-117.1610838,CA
253,Digital Marketing & ECommerce Data Analyst,31000,51500,72000,Vionic Group,"San Rafael, CA",Retail,Subsidiary or Business Segment,51 to 200 employees,3.6,NaN,50.2,NaN,37.9735346,-122.5310874,CA
254,Principal Scientist - Immunologist,98000,140000,182000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,136.4,89260,42.3600825,-71.0588801,MA
255,Senior Data Analyst,55000,77500,100000,Dodge Data & Analytics,"Hamilton, NJ",Information Technology,Company - Private,201 to 500 employees,2.8,NaN,75.5,NaN,40.2115109,-74.6796651,NJ
256,Insurance Financial Data Analyst,45000,63500,82000,Clearwater Analytics,"Boise, ID",Finance,Company - Private,501 to 1000 employees,4.2,NaN,61.9,NaN,43.6150186,-116.2023137,ID
257,Data Scientist,83000,109000,135000,"Tekvalley, Corp.","San Francisco, CA",Information Technology,Company - Private,1 to 50 employees,4.0,178.6,106.2,40661,37.7749295,-122.4194155,CA
258,Data Scientist,70000,96000,122000,BWX Technologies,"Oak Ridge, TN",Aerospace & Defense,Company - Public,5001 to 10000 employees,3.5,NaN,93.5,NaN,36.0103561,-84.26964490000002,TN
259,Data Engineer,70000,101000,132000,PennyMac,"Agoura Hills, CA",Finance,Company - Public,1001 to 5000 employees,3.2,NaN,98.4,NaN,34.1533395,-118.7616764,CA
260,Senior Data Scientist,73000,98500,124000,Plymouth Rock Assurance,"Woodbridge, NJ",Insurance,Company - Private,1001 to 5000 employees,3.3,NaN,96.0,NaN,40.5575986,-74.2846022,NJ
261,Data Engineer I - Azure,54000,77500,101000,Vermeer,"Pella, IA",Manufacturing,Company - Private,1001 to 5000 employees,3.9,NaN,75.5,NaN,41.4080327,-92.91640500000001,IA
262,"Sr. Scientist, Quantitative Translational Sciences",117000,161500,206000,Takeda Pharmaceuticals,"Boston, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,132.6,157.3,110712,42.3600825,-71.0588801,MA
263,Sr. Data Scientist II,111000,147000,183000,Argo Group US,"New York, NY",Insurance,Company - Public,1001 to 5000 employees,3.4,128.0,143.2,98000,40.7127753,-74.0059728,NY
264,Data Scientist,68000,90000,112000,L&T Infotech,"San Ramon, CA",Information Technology,Company - Public,10000+ employees,3.5,NaN,87.7,NaN,37.7643595,-121.9539616,CA
265,Information Security Data Analyst,42000,58000,74000,OceanFirst Financial,"Red Bank, NJ",Finance,Company - Public,501 to 1000 employees,4.3,NaN,56.5,NaN,40.3470543,-74.0643065,NJ
266,Excel / VBA / SQL Data Analyst,44000,61000,78000,Associated Electric Cooperative,"Springfield, MO","Oil, Gas, Energy & Utilities",Company - Private,501 to 1000 employees,4.1,86.7,59.4,27792,37.2089572,-93.29229889999999,MO
267,Machine Learning Research Scientist,81000,120000,159000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,116.9,84361,40.44062479999999,-79.9958864,PA
268,Data Scientist,95000,128000,161000,Sotheby's,"New York, NY",Retail,Company - Public,1001 to 5000 employees,3.6,128.0,124.7,79012,40.7127753,-74.0059728,NY
269,Data Scientist,75000,99500,124000,First Tech Federal Credit Union,"Hillsboro, OR",Finance,Company - Private,1001 to 5000 employees,3.5,NaN,96.9,NaN,45.5201336,-122.9898149,OR
270,Data Scientist,72000,96000,120000,Amrock,"Detroit, MI",Real Estate,Company - Private,1001 to 5000 employees,3.6,93.2,93.5,60305,42.331427,-83.0457538,MI
271,Data Scientist,76000,101000,126000,Vanda Pharmaceuticals,"Washington, DC",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,2.3,120.1,98.4,55040,38.9071923,-77.0368707,DC
272,Senior Data Scientist,114000,148000,182000,Zest AI,"Burbank, CA",Finance,Company - Private,51 to 200 employees,3.9,NaN,144.2,NaN,34.1808392,-118.3089661,CA
273,"Data Scientist, Senior",108000,142000,176000,Novetta,"Fort Belvoir, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,138.3,NaN,38.71887160000001,-77.15426839999999,VA
274,Senior Data Scientist,130000,169000,208000,CK-12 Foundation,"Palo Alto, CA",Education,Company - Private,1 to 50 employees,4.1,NaN,164.7,NaN,37.4418834,-122.1430195,CA
275,"VP, Data Science",83000,124500,166000,PennyMac,"Phoenix, AZ",Finance,Company - Public,1001 to 5000 employees,3.2,104.3,121.3,84591,33.4483771,-112.0740373,AZ
276,Radar Data Analyst,42000,59000,76000,DECISIVE ANALYTICS Corporation,"Huntsville, AL",Aerospace & Defense,Company - Private,51 to 200 employees,4.7,91.3,57.5,24081,34.7303688,-86.5861037,AL
277,CONSULTANT– DATA ANALYTICS GROUP,37000,52500,68000,Opinion Dynamics,"San Diego, CA",Business Services,Company - Private,51 to 200 employees,4.2,136.2,51.1,331,32.715738,-117.1610838,CA
278,Data Engineer,52000,75500,99000,Applied Information Sciences,"Houston, TX",Information Technology,Company - Private,501 to 1000 employees,4.6,95.8,73.6,38884,29.7604267,-95.3698028,TX
279,Senior Data Scientist,105000,139000,173000,Swiss Re,"Armonk, NY",Insurance,Company - Public,10000+ employees,3.7,NaN,135.4,NaN,41.1264849,-73.71401949999999,NY
280,"Data Engineer, Data Engineering and Artifical Intelligence",71000,102500,134000,Takeda Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,NaN,99.9,NaN,42.3736158,-71.10973349999999,MA
281,Staff Scientist,39000,60500,82000,WK Dickson,"Columbia, SC",Business Services,Company - Private,201 to 500 employees,4.4,91.9,58.9,25289,34.0007104,-81.0348144,SC
282,PL Actuarial-Lead Data Scientist,114000,146500,179000,The Hanover Insurance Group,"Worcester, MA",Insurance,Company - Public,5001 to 10000 employees,3.7,113.2,142.7,103150,42.2625932,-71.8022934,MA
283,"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",88000,125000,162000,Genentech,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,10000+ employees,3.9,NaN,121.8,NaN,37.654656,-122.4077498,CA
284,Sr. Data Analyst,60000,81000,102000,MassMutual,"Springfield, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,106.5,78.9,40230,42.1014831,-72.589811,MA
285,Senior Data & Machine Learning Scientist,100000,133000,166000,Tempus Labs,"Chicago, IL",Biotech & Pharmaceuticals,Company - Private,501 to 1000 employees,3.0,100.1,129.6,94717,41.8781136,-87.6297982,IL
286,Program/Data Analyst,55000,77000,99000,General Dynamics Information Technology,"Washington, DC",Information Technology,Subsidiary or Business Segment,10000+ employees,3.4,120.1,75.0,31023,38.9071923,-77.0368707,DC
287,Data Engineer,67000,92000,117000,ManTech,"Herndon, VA",Business Services,Company - Public,5001 to 10000 employees,4.1,NaN,89.6,NaN,38.9695545,-77.3860976,VA
288,Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,92000,121000,150000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,117.9,NaN,42.3736158,-71.10973349999999,MA
289,"Principal Data Engineer, Data Platform & Insights",116000,162500,209000,Autodesk,"San Francisco, CA",Information Technology,Company - Public,5001 to 10000 employees,4.0,178.6,158.3,94136,37.7749295,-122.4194155,CA
